PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=496 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=525 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=533 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=550 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=553 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=559 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=564 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=562 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=569 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=568 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=579 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=565 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=564 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=574 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=597 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=576 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=619 ms
